,No Manipulation,Manipulation
0,17.5,17.05
1,20.7,21.699
2,15.59,17.78
3,14.8,15.08
4,13.5,12.3
5,13.0,12.4
6,17.18,20.91
7,21.1,11.58
8,21.7,18.736
9,18.1,18.59
10,18.2,16.4
11,18.1,16.2
12,21.48,15.8
13,20.47,23.2
14,18.98,13.6
15,20.44,14.4
16,18.7,12.18
17,15.0,11.0
18,17.0,15.3
19,18.0,15.2
20,19.79,19.6
21,13.31,21.0
22,13.2,16.36
23,21.1,19.0
24,15.9,14.3
25,15.9,12.3
26,15.9,13.5
27,15.9,21.0
28,26.1,11.76
29,18.7,11.8
30,18.3,19.7
31,17.9,9.5
32,19.33,20.0
33,19.6,11.1
34,21.5,11.7
35,18.0,19.6
36,17.76,16.88
37,10.87,15.0
38,17.8,22.0
39,19.5,21.33
40,19.9,19.4
41,17.6,20.524
42,19.3,18.7
43,24.2,17.3
44,14.95,14.1
45,18.02,19.018
46,17.57,8.32
47,12.7,18.48
48,14.8,18.4
49,17.2,17.04
50,12.0,24.0
51,26.9,17.18
52,27.5,25.83
53,13.2,18.0
54,16.0,16.8
55,20.41,20.56
56,14.31,20.14
57,14.28,18.4
58,7.3,17.2
59,14.28,16.0
60,15.4,12.0
61,21.9,10.0
62,14.3,11.85
63,18.3,10.58
64,13.8,9.05
65,15.71,7.56
66,21.0,14.33
67,16.3,13.4
68,16.2,21.32
69,14.943,19.5
70,20.6,17.0
71,15.12,16.9
72,20.0,23.0
73,14.63,21.3
74,18.9,14.9
75,20.84,17.0
76,31.5,15.47
77,29.8,28.9
78,15.82,26.9
79,17.2,16.5
80,19.7,22.0
81,14.09,18.49
82,14.6,15.57
83,18.78,16.8
84,18.8,14.25
85,22.3,15.3
86,15.1,20.8
87,13.66,17.39
88,18.7,18.5
89,20.9,17.0
90,21.0,19.478
91,17.0,17.54
92,21.2,13.64
93,16.37,9.13
94,18.495,9.13
95,7.0,9.33
96,20.03,10.78
97,19.96,8.36
98,16.98,7.64
99,20.0,11.1
100,15.91,11.66
101,18.3,14.24
102,20.6,16.8
103,19.76,15.0
104,15.7,19.0
105,16.0,13.0
106,15.506,12.7
107,16.71,31.6
108,18.06,16.6
109,19.0,25.0
110,17.0,34.8
111,15.1,22.7
112,18.4,23.2
113,18.8,17.8
114,14.5,17.1
115,28.3,17.4
116,22.8,17.4
117,15.257,14.1
118,17.0,15.78
119,24.71,17.6
120,21.3,18.1
121,12.8,19.446
122,19.0,26.0
123,20.1,13.66
124,13.69,18.4
125,19.6,18.98
126,17.74,16.7
127,15.6,16.7
128,21.0,29.4
129,20.0,15.9
130,14.73,18.4
131,19.5,14.8
132,20.9,12.65
133,20.2,13.89
134,24.9,13.7
135,14.5,16.56
136,,17.83
137,,12.156
138,,15.6
139,,14.3
140,,24.9
141,,17.0
142,,18.6
143,,20.7
144,,18.46
145,,17.6
146,,20.0
147,,22.0
148,,21.0
149,,16.4
150,,19.2
151,,19.2
152,,14.4
153,,15.87
154,,22.53
155,,18.03
156,,16.52
157,,22.0
158,,21.1
159,,20.7
160,,18.0
161,,15.0
162,,20.41
163,,18.07
164,,17.2
165,,14.6
166,,21.667
167,,23.892
168,,16.497
169,,18.18
170,,17.64
171,,18.9
172,,21.5
173,,18.3
174,,16.94
175,,16.34
176,,16.58
177,,22.01
178,,24.0
179,,24.0
180,,24.0
181,,14.28
182,,19.0
183,,20.13
184,,16.96
185,,11.02
186,,18.18
187,,21.9
188,,19.0
189,,18.3175
190,,17.3
191,,20.3
192,,17.4
193,,20.41
194,,20.13
195,,14.5
196,,15.0
