,CA,MA,NY,WA,MI,Quebec,TX,PA,MO,CO,TN,GA,MD,NJ,FL,NC,IL,CT,Gyeongbuk,ME,OH,Guangdong,UT,Asan,Anhui,AZ,AR,AL,AK,Guangdong Province,Kyungbuk,Hubei,IA,Jeonbuk,Jilin,KS,LA,WV,NE,NV,OR,Ontario,QC,RS,Saskatchewan ,Yunnan
0,17.5,18.1,17.23,21.1,15.59,17.0,17.0,16.58,21.9,15.9,,12.4,20.7,13.5,18.3,,18.1,12.7,21.6,,22.91,,,,,18.0,,,10.87,,16.3,,,9.5,15.91,,,,,15.3,,16.8,19.0,11.66,,17.23
1,14.5,19.2,24.9,26.1,14.8,15.3,21.7,20.1,18.7,15.9,,28.65,14.0,12.3,21.32,,23.2,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13.0,18.2,17.18,22.1,21.1,15.1,17.05,26.9,15.2,15.9,,,,16.0,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19.6,18.9,17.78,24.2,18.4,,18.4,27.5,15.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21.699,20.44,17.0,13.0,18.98,,15.0,,16.2,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19.0,13.8,14.24,17.4,21.48,,13.31,,16.4,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17.2,17.8,13.2,,20.47,,18.0,,16.2,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18.0,17.6,20.91,,18.98,,17.57,,13.4,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15.08,19.3,11.58,,18.07,,12.18,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18.7,16.8,16.96,,12.7,,11.0,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17.3,29.4,11.02,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21.5,15.9,18.18,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,19.79,13.6,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16.7,17.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16.7,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20.56,,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,18.7,,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.3,,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17.9,,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19.33,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19.6,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.5,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
