,No Manipulation No FUDR,No Manipulation w FUDR,Manipulation No FUDR,Manipulation w FUDR
0,14.8,17.5,17.05,17.78
1,13.0,20.7,21.699,12.3
2,17.18,15.59,15.08,20.91
3,21.48,13.5,18.736,11.58
4,20.47,21.1,18.59,23.2
5,18.98,21.7,16.4,12.18
6,20.44,18.1,16.2,11.0
7,18.7,18.2,15.8,15.3
8,15.0,18.1,13.6,19.6
9,17.0,21.1,14.4,21.0
10,18.0,19.33,15.2,14.3
11,19.79,18.0,16.36,19.7
12,13.31,17.76,19.0,20.0
13,13.2,17.8,12.3,16.88
14,15.9,17.6,13.5,17.3
15,15.9,19.3,21.0,19.018
16,15.9,14.95,11.76,18.48
17,15.9,17.57,11.8,17.04
18,18.7,26.9,9.5,25.83
19,18.3,27.5,11.1,20.56
20,17.9,13.2,11.7,20.14
21,19.6,16.0,19.6,16.8
22,21.5,20.41,15.0,19.0
23,10.87,14.31,22.0,13.0
24,19.5,7.3,21.33,31.6
25,19.9,15.4,19.4,34.8
26,24.2,21.9,20.524,17.6
27,18.02,14.3,18.7,18.1
28,12.7,18.3,14.1,19.446
29,14.8,13.8,8.32,26.0
30,12.0,21.0,18.4,13.66
31,14.28,16.3,24.0,17.2
32,16.2,14.943,17.18,21.32
33,15.82,20.6,18.0,17.0
34,17.2,15.12,16.8,15.47
35,19.7,20.0,18.4,28.9
36,14.6,14.63,16.0,26.9
37,22.3,18.9,12.0,22.0
38,13.66,20.84,10.0,18.5
39,18.7,31.5,11.85,19.478
40,20.9,29.8,10.58,17.54
41,15.91,14.09,9.05,13.64
42,15.7,18.78,7.56,29.4
43,16.0,18.8,14.33,15.9
44,16.71,15.1,13.4,18.4
45,17.0,17.0,19.5,12.65
46,14.5,16.37,17.0,13.89
47,22.8,18.495,16.9,13.7
48,15.257,7.0,23.0,16.56
49,24.71,20.03,21.3,17.83
50,19.0,19.96,14.9,12.156
51,13.69,16.98,16.5,24.9
52,19.6,20.0,18.49,20.7
53,17.74,18.3,15.57,17.6
54,21.0,20.6,16.8,20.0
55,,19.76,14.25,22.0
56,,15.506,15.3,21.0
57,,19.0,20.8,16.4
58,,15.1,17.39,19.2
59,,18.4,17.0,19.2
60,,18.8,9.13,14.4
61,,28.3,9.13,18.03
62,,12.8,9.33,18.0
63,,20.1,10.78,15.0
64,,15.6,8.36,20.41
65,,20.0,7.64,21.667
66,,14.73,11.1,23.892
67,,19.5,11.66,17.3
68,,20.9,14.24,17.64
69,,20.2,15.0,18.9
70,,24.9,12.7,
71,,14.5,16.6,
72,,,25.0,
73,,,22.7,
74,,,23.2,
75,,,17.8,
76,,,17.1,
77,,,17.4,
78,,,17.4,
79,,,14.1,
80,,,15.78,
81,,,18.4,
82,,,18.98,
83,,,16.7,
84,,,16.7,
85,,,14.8,
86,,,15.6,
87,,,14.3,
88,,,17.0,
89,,,18.6,
90,,,18.46,
91,,,16.52,
92,,,22.0,
93,,,21.1,
94,,,14.28,
95,,,19.0,
96,,,20.13,
97,,,16.58,
98,,,15.87,
99,,,22.53,
100,,,24.0,
101,,,24.0,
102,,,24.0,
103,,,21.9,
104,,,19.0,
105,,,18.3175,
106,,,18.07,
107,,,17.2,
108,,,14.6,
109,,,20.41,
110,,,20.13,
111,,,16.96,
112,,,11.02,
113,,,18.18,
114,,,18.3,
115,,,16.94,
